date,time,ms
15-6-2020,11:28:57,2.927
15-6-2020,11:28:58,2.567
15-6-2020,11:28:59,2.818
15-6-2020,11:29:00,2.999
15-6-2020,11:29:01,2.571
15-6-2020,11:29:02,2.563
15-6-2020,11:29:03,2.969
15-6-2020,11:29:04,2.936
15-6-2020,11:29:05,3.378
15-6-2020,11:29:06,2.333
15-6-2020,11:29:07,2.807
15-6-2020,11:29:08,2.761
15-6-2020,11:29:09,2.609
15-6-2020,11:29:10,2.603
15-6-2020,11:29:11,2.701
15-6-2020,11:29:12,2.572
15-6-2020,11:29:13,2.704
15-6-2020,11:29:14,3.103
15-6-2020,11:29:15,2.985
15-6-2020,11:29:16,2.794
15-6-2020,11:29:17,3.059
15-6-2020,11:29:18,2.547
15-6-2020,11:29:19,2.633
15-6-2020,11:29:20,2.806
15-6-2020,11:29:21,2.72
15-6-2020,11:29:22,3.034
15-6-2020,11:29:23,3.195
15-6-2020,11:29:24,3.148
15-6-2020,11:29:25,3.105
15-6-2020,11:29:26,4.929
15-6-2020,11:29:27,3.29
15-6-2020,11:29:28,3.05
15-6-2020,11:29:29,3.344
15-6-2020,11:29:30,2.955
15-6-2020,11:29:31,2.792
15-6-2020,11:29:32,5.175
15-6-2020,11:29:33,3.433
15-6-2020,11:29:34,3.185
15-6-2020,11:29:35,2.312
15-6-2020,11:29:36,4.924
15-6-2020,11:29:37,2.586
15-6-2020,11:29:38,3.103
15-6-2020,11:29:39,2.719
15-6-2020,11:29:40,2.955
15-6-2020,11:29:41,3.126
15-6-2020,11:29:42,3.115
15-6-2020,11:29:43,3.169
15-6-2020,11:29:44,5.33
15-6-2020,11:29:45,3.236
15-6-2020,11:29:46,2.698
15-6-2020,11:29:47,2.826
15-6-2020,11:29:48,2.439
15-6-2020,11:29:49,2.825
15-6-2020,11:29:51,2.436
15-6-2020,11:29:52,2.545
15-6-2020,11:29:53,4.259
15-6-2020,11:29:54,6.247
15-6-2020,11:29:55,3.534
15-6-2020,11:29:56,2.353
15-6-2020,11:29:57,3.19
15-6-2020,11:29:58,2.89
15-6-2020,11:29:59,2.54
15-6-2020,11:30:00,3.187
15-6-2020,11:30:01,2.59
15-6-2020,11:30:02,3.318
15-6-2020,11:30:03,2.844
15-6-2020,11:30:04,3.157
15-6-2020,11:30:05,2.665
15-6-2020,11:30:06,3.049
15-6-2020,11:30:07,2.733
15-6-2020,11:30:08,3.36
15-6-2020,11:30:09,2.414
15-6-2020,11:30:10,2.576
15-6-2020,11:30:11,3.865
15-6-2020,11:30:12,3.226
15-6-2020,11:30:13,2.989
15-6-2020,11:30:14,3.028
15-6-2020,11:30:15,5.994
15-6-2020,11:30:16,3.266
15-6-2020,11:30:17,2.055
15-6-2020,11:30:18,3.056
15-6-2020,11:30:19,2.247
15-6-2020,11:30:20,3.482
15-6-2020,11:30:21,4.296
15-6-2020,11:30:22,2.177
15-6-2020,11:30:23,2.916
15-6-2020,11:30:24,2.767
15-6-2020,11:30:25,2.969
15-6-2020,11:30:26,3.226
15-6-2020,11:30:27,4.15
15-6-2020,11:30:28,3.395
15-6-2020,11:30:29,2.375
15-6-2020,11:30:30,5.062
